label,paddle_y,0,ball_x,ball_y,ball_dx,ball_dy,x_prev,y_prev
down,210,0,478.0796639999996,70.43479999999997,179.93199999999976,-179.93199999999976,468.3749999999996,80.11613599999995
stop,258.70799999999997,0,522.5849999999994,26.02640800000003,181.89999999999975,-181.89999999999975,513.4999999999994,35.091408000000015
down,258.70799999999997,0,577.6993039999994,63.009303999999936,184.30799999999974,184.30799999999974,568.8617359999994,54.171735999999946
stop,288.60599999999994,0,605.6210159999993,90.9310159999999,185.51599999999974,185.51599999999974,596.3552159999992,81.66521599999992
down,288.60599999999994,0,77.32946399999997,414.508896,161.13199999999995,-161.13199999999995,69.12213599999998,422.695416
stop,308.40599999999995,0,93.48266399999997,398.39595199999997,161.93199999999993,-161.93199999999993,84.74999999999997,407.105288
up,308.40599999999995,0,284.48110399999973,207.856608,171.10799999999986,-171.10799999999986,276.44786399999975,215.872176
up,188.81399999999996,0,389.2895999999996,103.29160000000002,175.93999999999986,-175.93999999999986,379.9760159999996,112.58271200000001
up,169.21199999999996,0,406.74686399999956,85.87354400000002,176.73199999999986,-176.73199999999986,398.09659999999957,94.50460000000002
up,159.50999999999996,0,415.4163359999996,77.22328000000003,177.12399999999985,-177.12399999999985,406.74686399999956,85.87354400000002
up,139.90799999999996,0,432.9908159999996,59.68800800000004,177.91599999999985,-177.91599999999985,424.10501599999964,68.55380800000003
up,119.51399999999995,0,451.35859999999957,41.36276000000006,178.73999999999984,-178.73999999999984,441.7183039999996,50.97972800000005
stop,119.51399999999995,0,451.35859999999957,41.36276000000006,178.73999999999984,-178.73999999999984,441.7183039999996,50.97972800000005
down,119.51399999999995,0,556.686488,230.12983999999972,-189.14799999999977,189.14799999999977,567.053328,219.7387999999997
down,237.324,0,442.963976,344.08899999999943,-193.90799999999976,193.90799999999976,452.629376,334.40359999999947
down,247.22400000000002,0,433.278576,353.7943999999994,-194.30799999999977,194.30799999999977,442.963976,344.08899999999943
down,267.024,0,413.847792,373.2651999999994,-195.10799999999975,195.10799999999975,423.379272,363.7145119999994
down,286.62600000000003,0,394.5322960000001,392.62009599999936,-195.89999999999975,195.89999999999975,403.51830400000006,383.6171599999994
down,297.12,0,384.1608320000001,403.01403199999936,-196.32399999999976,196.32399999999976,394.5322960000001,392.62009599999936
down,316.92,0,364.5284960000001,422.6864319999993,-197.12399999999974,197.12399999999974,374.7464960000001,412.4467999999993
down,336.324,0,345.2103440000002,442.04299999999927,-197.90799999999973,197.90799999999973,354.87902400000013,432.3551119999993
stop,347.016,0,334.5349760000002,452.74169599999925,-198.33999999999972,198.33999999999972,345.2103440000002,442.04299999999927
up,347.016,0,305.15160000000026,452.6572,-199.52399999999972,-199.52399999999972,315.49440000000027,463
up,228.41400000000002,0,184.44101600000047,331.94661600000023,-204.31599999999963,-204.31599999999963,194.22053600000044,341.7261360000002
up,218.514,0,174.2352160000005,321.7408160000002,-204.71599999999964,-204.71599999999964,184.44101600000047,331.94661600000023
up,198.714,0,153.7636320000005,301.2692320000003,-205.51599999999962,-205.51599999999962,164.2137360000005,311.7193360000003
up,179.112,0,133.41755200000054,280.9231520000003,-206.30799999999962,-206.30799999999962,143.49783200000053,291.00343200000026
stop,169.212,0,123.11215200000056,270.61775200000034,-206.70799999999963,-206.70799999999963,133.41755200000054,280.9231520000003
up,169.212,0,39.53112000000074,187.03672000000046,-209.9239999999996,-209.9239999999996,50.41472000000072,197.92032000000043
up,60.50999999999995,0,102.29751199999987,113.12968200000056,214.3159999999996,-108.76199999999983,91.3777999999999,118.64533200000055
stop,50.80799999999995,0,112.80859999999984,107.80994800000056,214.7079999999996,-109.15399999999983,102.29751199999987,113.12968200000056
down,50.80799999999995,0,483.0974400000005,271.16780199999965,-237.9079999999994,132.35399999999981,494.2526080000005,264.9559999999997
down,159.70799999999997,0,351.25829600000077,345.1725019999995,-242.30799999999934,136.75399999999976,363.34369600000076,338.3448019999995
down,179.90399999999997,0,326.5428960000008,359.16302599999943,-243.12399999999934,137.56999999999977,338.66909600000076,352.29452599999945
down,199.70399999999998,0,302.23064000000085,372.96002599999935,-243.92399999999935,138.36999999999978,315.1249040000008,365.6376519999994
down,209.60399999999998,0,290.04444000000086,379.88852599999933,-244.32399999999936,138.76999999999978,302.23064000000085,372.96002599999935
down,229.00799999999998,0,266.10075200000085,393.5264019999993,-245.10799999999935,139.55399999999977,278.57004800000084,386.41955199999927
down,249.59999999999997,0,240.60952000000094,408.0832819999992,-245.93999999999934,140.38599999999977,253.3659520000009,400.79402599999923
