label,paddle_y,0,ball_x,ball_y,ball_dx,ball_dy,x_prev,y_prev
down,210,0,109.06500000000001,366.8528933370166,162.7,162.7,100.77770400000001,358.56559733701664
stop,338.50199999999995,0,216.34210399999992,454.80210400000004,167.89199999999997,-167.89199999999997,208.12499999999991,463
up,338.50199999999995,0,250.5890159999999,420.637648,169.51599999999993,-169.51599999999993,241.7849999999999,429.42003200000005
stop,249.59999999999997,0,327.50810399999983,343.89783200000005,173.1079999999999,-173.1079999999999,318.6899999999998,352.69512800000007
up,249.59999999999997,0,353.3899999999998,318.0751440000001,174.2999999999999,-174.2999999999999,344.68499999999983,326.7601440000001
stop,199.90199999999996,0,397.3913039999997,274.1747920000001,176.3079999999999,-176.3079999999999,388.58590399999974,282.96019200000006
up,199.90199999999996,0,441.7183039999997,229.94816000000012,178.3079999999999,-178.3079999999999,432.8129039999997,238.83356000000012
stop,150.402,0,486.54530399999965,185.22120800000013,180.30799999999988,-180.30799999999988,477.53990399999964,194.20660800000013
up,150.402,0,540.9977039999997,130.88893600000014,182.70799999999986,-182.70799999999986,532.0546159999997,139.81281600000014
up,31.60199999999997,0,595.2093199999998,33.94471000000025,-187.50799999999987,-94.34999999999994,604.5547199999999,38.63221000000025
stop,21.89999999999997,0,586.0310319999998,29.331164000000253,-187.89999999999986,-94.74199999999993,595.2093199999998,33.94471000000025
down,21.89999999999997,0,557.4394479999997,17,-189.11599999999987,95.95799999999994,566.8652479999997,19.667496000000263
stop,199.308,0,385.1375439999998,106.18963199999997,-196.2839999999999,103.12599999999998,394.9217439999998,101.04333199999998
down,199.308,0,355.66495999999984,121.74853199999997,-197.4839999999999,104.32599999999998,365.50915999999984,116.54223199999997
stop,229.60199999999998,0,325.41871199999986,137.80404599999997,-198.70799999999988,105.54999999999998,335.71907999999985,132.32626199999996
down,229.60199999999998,0,256.3240799999998,174.80321,-201.47599999999986,108.318,265.96727999999985,169.613162
stop,279.29999999999995,0,205.6024079999998,202.24303199999994,-203.48399999999987,110.32600000000002,215.7466079999998,196.73673199999996
down,279.29999999999995,0,123.11143199999984,247.3540459999999,-206.70799999999983,113.55000000000003,133.62232799999984,241.5733999999999
stop,318.1079999999999,0,82.52007199999989,269.76350999999994,-208.27599999999984,115.11800000000004,92.07537599999988,264.4765459999999
up,318.1079999999999,0,30.301279999999938,298.7930099999999,-210.2759999999998,117.11800000000002,40.57599199999993,293.0638319999999
stop,248.6099999999999,0,70.02099999999996,355.13498199999987,213.0839999999998,178.889,60.22759999999996,346.91455199999984
up,248.6099999999999,0,199.9650879999998,463,217.9079999999998,-183.713,189.29719999999983,455.4671519999999
stop,209.6039999999999,0,243.04819999999978,426.731023,219.48399999999978,-185.289,232.3030879999998,435.781372
up,209.6039999999999,0,332.3725999999996,351.38498699999985,222.71599999999975,-188.52099999999996,321.0244879999996,360.9683459999999
stop,160.3019999999999,0,388.0768879999995,304.2947179999998,224.70799999999974,-190.51299999999995,376.8514879999995,313.79036799999983
up,160.3019999999999,0,455.1679999999993,247.4774009999998,227.0839999999997,-192.8889999999999,444.5038879999994,256.5166759999998
stop,90.80399999999992,0,535.3672879999992,179.4214459999998,229.89199999999965,-195.69699999999986,523.8826879999992,189.1762959999998
down,90.80399999999992,0,530.4513279999999,60.31386549999992,-236.27599999999964,-102.62049999999994,542.0000399999999,65.31345799999991
stop,140.50199999999992,0,470.99488799999995,34.404955999999935,-238.28399999999965,-104.62849999999995,482.87908799999997,39.606380999999935
down,140.50199999999992,0,447.404808,24.04677049999994,-239.07599999999962,-105.42049999999995,458.852808,29.079306499999937
stop,199.90199999999993,0,375.44216800000015,37.979153999999994,-241.47599999999963,107.82049999999997,387.4859680000001,32.598129
up,199.90199999999993,0,302.0301280000002,71.01600149999996,-243.8999999999996,110.24449999999999,314.4378160000002,65.40393599999997
stop,179.90399999999994,0,277.39626400000026,82.19149999999995,-244.7079999999996,111.05249999999998,290.08863200000025,76.42758599999995
down,179.90399999999994,0,93.92181599999984,245.62725649999982,255.91599999999946,122.26049999999996,80.88050399999987,239.40237499999984
down,298.7039999999999,0,248.91141599999952,320.4235564999996,260.71599999999944,127.06049999999995,235.36499999999955,313.82722649999965
down,318.3059999999999,0,274.76150399999943,333.0417499999996,261.50799999999947,127.85249999999995,261.4349999999995,326.5316764999996
down,327.41399999999993,0,286.7993359999994,338.9314289999996,261.87599999999946,128.22049999999996,274.76150399999943,333.0417499999996
down,348.2039999999999,0,314.3404159999993,352.4386814999995,262.71599999999944,129.06049999999996,300.6899999999994,345.73835149999957
